Date,"('Close', '^OEX')_S&P100","('High', '^OEX')_S&P100","('Low', '^OEX')_S&P100","('Open', '^OEX')_S&P100","('Volume', '^OEX')_S&P100","('Close', '^GSPC')_S&P500","('High', '^GSPC')_S&P500","('Low', '^GSPC')_S&P500","('Open', '^GSPC')_S&P500","('Volume', '^GSPC')_S&P500","('Close', 'QQQ')_QQQ","('High', 'QQQ')_QQQ","('Low', 'QQQ')_QQQ","('Open', 'QQQ')_QQQ","('Volume', 'QQQ')_QQQ","('Close', '^NYA')_NYSE","('High', '^NYA')_NYSE","('Low', '^NYA')_NYSE","('Open', '^NYA')_NYSE","('Volume', '^NYA')_NYSE","('Close', '^DJI')_DJI","('High', '^DJI')_DJI","('Low', '^DJI')_DJI","('Open', '^DJI')_DJI","('Volume', '^DJI')_DJI","('Close', '^IXIC')_IXIC","('High', '^IXIC')_IXIC","('Low', '^IXIC')_IXIC","('Open', '^IXIC')_IXIC","('Volume', '^IXIC')_IXIC","('Close', 'SPY')_SPY","('High', 'SPY')_SPY","('Low', 'SPY')_SPY","('Open', 'SPY')_SPY","('Volume', 'SPY')_SPY"
3/10/1999,644.4000244140630,644.6699829101560,638.4600219726560,640.9299926757810,841900000,1286.8399658203100,1287.02002,1275.1600341796900,1279.8399658203100,841900000,43.34739303588870,43.42697821282120,42.68418322811800,43.400449820510300,5232000,6412.759766,6412.759766,6412.759766,6412.759766,0,9772.839844,9776.169922,9675.719727,9695.980469,90040000,2406,2408.949951171880,2378.810059,2407.100098,936670000,81.45980072021480,81.49921039642200,80.57308300555360,81.00658944383240,3950000
3/11/1999,649.8499755859380,654.9799805,644.4000244140630,644.4000244140630,904800000,1297.6800537109400,1306.4300537109400,1286.8399658203100,1286.8399658203100,904800000,43.559627532959000,43.91776088965510,42.71071883560530,43.66574112012820,9688600,6467.629883,6467.629883,6467.629883,6467.629883,0,9897.44043,9935.459961,9769.959961,9769.959961,97870000,2412.25,2437.389892578130,2391.550048828130,2419.120117,1033580000,82.36624145507810,82.72092861923880,81.26277027768950,81.77509618147710,6583700
3/12/1999,648.2700195,652.5399780273440,645.0300293,649.8499755859380,825800000,1294.5899658203100,1304.4200439453100,1289.1700439453100,1297.6800537109400,825800000,42.49845504760740,43.42694813541410,42.153586186422100,43.40041976147670,8743600,6466.259766,6466.259766,6466.259766,6466.259766,0,9876.349609,9958.769531,9861.919922,9897.719727,97760000,2381.530029296880,2412.25,2362.870117,2411.47998,918410000,81.57802582,82.62238218703710,81.47950163210070,82.60267734988300,5286500
3/15/1999,655.4799805,656.1799926757810,646.6900024414060,648.2700195,727200000,1307.260009765630,1307.469970703130,1291.030029296880,1294.5899658203100,727200000,43.71876907348630,43.771825832070700,42.36582172958600,42.81680417755280,6369000,6505.169922,6505.169922,6505.169922,6505.169922,0,9958.769531,9970.150391,9862.480469,9876.080078,78860000,2431.439941,2431.449951171880,2375.830078,2392.540039,851480000,82.74063110351560,82.76033594540740,81.65686479946860,81.93273258595330,5394400
3/16/1999,655.6699829101560,658.7299805,652.9500122070310,655.4799805,751900000,1306.3800048828100,1311.1099853515600,1302.290039,1307.260009765630,751900000,44.09017562866210,44.27587432264560,43.42696600729230,43.90447693467860,4905800,6493.120117,6493.120117,6493.120117,6493.120117,0,9930.469727,10001.78027,9926.580078,9957.660156,74480000,2439.27002,2450.010009765630,2423.810059,2437.97998,977210000,82.42534637451170,83.01649158,82.26770765326000,82.68150929654580,4547500
3/17/1999,650.8800048828130,655.9000244140630,649.0200195,655.6699829101560,752300000,1297.8199462890600,1306.550048828130,1292.6300048828100,1306.3800048828100,752300000,43.77184295654300,44.143240411931800,43.63920100818980,44.09018363259060,3965000,6456.850098,6456.850098,6456.850098,6456.850098,0,9879.410156,9960.709961,9859.150391,9931.129883,84570000,2428.969970703130,2441.719970703130,2419.850098,2440.219970703130,854320000,82.07063293457030,82.56325378,81.73565075932720,82.40561510981350,4524100
3/18/1999,659.25,659.9000244140630,649.3699951171880,650.8800048828130,831000000,1316.550048828130,1317.6199951171900,1294.75,1297.8199462890600,831000000,44.62073898,44.647267365427300,43.70550979473650,43.718773985872900,4848400,6530.439941,6530.439941,6530.439941,6530.439941,0,9997.620117,10001.50977,9845.830078,9873.900391,86480000,2462.959961,2463.010009765630,2423.540039,2425.360107421880,937430000,83.39086151123050,83.46968085103320,81.81447471517700,81.83417955012760,3506300
3/19/1999,650.1099853515630,663.8900146484380,650.1099853515630,659.25,914700000,1299.290039,1323.8199462890600,1298.9200439453100,1316.550048828130,914700000,43.48001480102540,45.204359500272900,43.45348642103700,45.204359500272900,7160400,6457.169922,6457.169922,6457.169922,6457.169922,0,9903.549805,10085.30957,9899.94043,10001.23047,117430000,2421.27002,2480.629883,2420.209961,2480.389892578130,1054880000,81.97344207763670,83.83018992,81.97344207763670,83.63266355583470,5526700
3/22/1999,649.5499877929690,653.1900024414060,648.4400024414060,650.1099853515630,658200000,1297.010009765630,1303.8399658203100,1294.260009765630,1299.290039,658200000,42.949459075927700,43.77183908294060,42.869873913958800,43.66572553364860,5024800,6455.160156,6455.160156,6455.160156,6455.160156,0,9890.509766,9934.629883,9874.969727,9902.280273,61210000,2395.939941,2430.850098,2395.290039,2428.389892578130,874200000,82.13145446777340,82.54625979336830,81.80553599766320,82.21046500598200,4603800
3/23/1999,631.9000244140630,649.5499877929690,629.0800170898440,649.5499877929690,811300000,1262.1400146484400,1297.010009765630,1257.459961,1297.010009765630,811300000,41.437339782714800,42.86987265612500,41.35775462308100,42.71070233685720,10962400,6296.129883,6296.129883,6296.129883,6296.129883,0,9671.830078,9891.05957,9632.709961,9890.230469,87510000,2322.840087890630,2395.939941,2319.959961,2388.040039,976000000,79.76111602783200,81.87464733416640,79.45495027784900,81.73637893094820,9713800
